name,flip_number,outcome
0,1,1
0,2,0
0,3,0
0,4,0
0,5,0
0,6,1
0,7,0
0,8,0
0,9,0
0,10,0
0,11,0
0,12,1
0,13,1
0,14,1
0,15,0
0,16,1
0,17,0
0,18,0
0,19,1
0,20,0
0,21,1
0,22,0
0,23,1
0,24,0
0,25,0
0,26,0
0,27,0
0,28,0
0,29,0
0,30,0
1,1,0
1,2,0
1,3,1
1,4,0
1,5,1
1,6,0
1,7,0
1,8,1
1,9,1
1,10,0
1,11,1
1,12,1
1,13,0
1,14,1
1,15,1
1,16,0
1,17,0
1,18,1
1,19,0
1,20,1
1,21,1
1,22,0
1,23,1
1,24,0
1,25,0
1,26,0
1,27,0
1,28,1
1,29,0
1,30,0
2,1,0
2,2,1
2,3,0
2,4,1
2,5,0
2,6,0
2,7,0
2,8,0
2,9,1
2,10,1
2,11,1
2,12,1
2,13,1
2,14,0
2,15,0
2,16,1
2,17,1
2,18,1
2,19,1
2,20,1
2,21,1
2,22,0
2,23,1
2,24,1
2,25,1
2,26,1
2,27,0
2,28,0
2,29,0
2,30,0
3,1,0
3,2,0
3,3,1
3,4,0
3,5,1
3,6,1
3,7,1
3,8,1
3,9,0
3,10,1
3,11,1
3,12,1
3,13,0
3,14,1
3,15,1
3,16,0
3,17,1
3,18,0
3,19,1
3,20,1
3,21,1
3,22,1
3,23,0
3,24,0
3,25,1
3,26,0
3,27,0
3,28,1
3,29,0
3,30,0
4,1,0
4,2,0
4,3,0
4,4,0
4,5,0
4,6,1
4,7,0
4,8,0
4,9,1
4,10,1
4,11,1
4,12,0
4,13,0
4,14,0
4,15,1
4,16,1
4,17,1
4,18,1
4,19,1
4,20,1
4,21,0
4,22,0
4,23,1
4,24,1
4,25,1
4,26,0
4,27,0
4,28,1
4,29,0
4,30,0
5,1,0
5,2,0
5,3,0
5,4,1
5,5,0
5,6,1
5,7,0
5,8,1
5,9,0
5,10,0
5,11,0
5,12,0
5,13,0
5,14,0
5,15,0
5,16,0
5,17,1
5,18,0
5,19,1
5,20,0
5,21,1
5,22,0
5,23,0
5,24,0
5,25,1
5,26,0
5,27,0
5,28,0
5,29,0
5,30,0
6,1,0
6,2,0
6,3,0
6,4,0
6,5,0
6,6,0
6,7,1
6,8,1
6,9,1
6,10,0
6,11,0
6,12,1
6,13,0
6,14,0
6,15,1
6,16,1
6,17,1
6,18,1
6,19,1
6,20,0
6,21,0
6,22,1
6,23,0
6,24,0
6,25,1
6,26,0
6,27,1
6,28,1
6,29,0
6,30,0
7,1,0
7,2,0
7,3,1
7,4,0
7,5,0
7,6,0
7,7,0
7,8,0
7,9,1
7,10,0
7,11,0
7,12,1
7,13,0
7,14,1
7,15,0
7,16,0
7,17,1
7,18,0
7,19,0
7,20,1
7,21,0
7,22,1
7,23,1
7,24,0
7,25,0
7,26,1
7,27,1
7,28,1
7,29,1
7,30,1
8,1,1
8,2,1
8,3,1
8,4,0
8,5,0
8,6,0
8,7,0
8,8,0
8,9,0
8,10,0
8,11,0
8,12,0
8,13,1
8,14,0
8,15,0
8,16,0
8,17,1
8,18,0
8,19,0
8,20,1
8,21,1
8,22,0
8,23,1
8,24,1
8,25,1
8,26,0
8,27,0
8,28,0
8,29,1
8,30,1
9,1,0
9,2,1
9,3,0
9,4,1
9,5,0
9,6,0
9,7,1
9,8,1
9,9,0
9,10,0
9,11,1
9,12,0
9,13,0
9,14,1
9,15,1
9,16,1
9,17,0
9,18,1
9,19,1
9,20,0
9,21,0
9,22,0
9,23,0
9,24,0
9,25,0
9,26,1
9,27,1
9,28,1
9,29,0
9,30,1
10,1,0
10,2,0
10,3,1
10,4,0
10,5,0
10,6,0
10,7,0
10,8,0
10,9,1
10,10,1
10,11,1
10,12,0
10,13,1
10,14,1
10,15,0
10,16,0
10,17,0
10,18,0
10,19,0
10,20,0
10,21,1
10,22,0
10,23,1
10,24,0
10,25,0
10,26,0
10,27,0
10,28,0
10,29,1
10,30,1
11,1,0
11,2,1
11,3,0
11,4,0
11,5,1
11,6,0
11,7,0
11,8,1
11,9,1
11,10,1
11,11,0
11,12,1
11,13,1
11,14,0
11,15,0
11,16,0
11,17,0
11,18,0
11,19,1
11,20,0
11,21,0
11,22,1
11,23,0
11,24,0
11,25,0
11,26,1
11,27,0
11,28,0
11,29,1
11,30,0
12,1,0
12,2,1
12,3,1
12,4,0
12,5,0
12,6,1
12,7,0
12,8,0
12,9,1
12,10,0
12,11,1
12,12,0
12,13,1
12,14,0
12,15,0
12,16,0
12,17,1
12,18,0
12,19,0
12,20,0
12,21,0
12,22,1
12,23,1
12,24,1
12,25,1
12,26,0
12,27,0
12,28,0
12,29,0
12,30,1
13,1,1
13,2,1
13,3,1
13,4,1
13,5,1
13,6,1
13,7,1
13,8,1
13,9,1
13,10,1
13,11,1
13,12,1
13,13,1
13,14,1
13,15,1
13,16,1
13,17,1
13,18,1
13,19,1
13,20,1
13,21,1
13,22,1
13,23,1
13,24,1
13,25,1
13,26,1
13,27,1
13,28,1
13,29,1
13,30,1
14,1,1
14,2,1
14,3,1
14,4,1
14,5,1
14,6,1
14,7,1
14,8,1
14,9,1
14,10,1
14,11,1
14,12,1
14,13,1
14,14,1
14,15,1
14,16,1
14,17,1
14,18,1
14,19,1
14,20,1
14,21,1
14,22,1
14,23,1
14,24,1
14,25,1
14,26,1
14,27,1
14,28,1
14,29,1
14,30,1
